date,komoditas,price
2022-01-01,beras,11732.35294117647
2022-01-01,gula,14117.64705882353
2022-01-01,minyak,19892.647058823528
2022-01-01,telur,30298.529411764706
2022-01-02,beras,11732.35294117647
2022-01-02,gula,14117.64705882353
2022-01-02,minyak,19892.647058823528
2022-01-02,telur,30298.529411764706
2022-01-03,beras,11738.235294117647
2022-01-03,gula,14142.64705882353
2022-01-03,minyak,19986.764705882353
2022-01-03,telur,30241.176470588234
2022-01-04,beras,11748.529411764706
2022-01-04,gula,14147.058823529413
2022-01-04,minyak,19998.529411764706
2022-01-04,telur,30077.941176470587
2022-01-05,beras,11733.823529411764
2022-01-05,gula,14155.882352941177
2022-01-05,minyak,20033.823529411766
2022-01-05,telur,30370.58823529412
2022-01-06,beras,11736.764705882353
2022-01-06,gula,14164.70588235294
2022-01-06,minyak,20055.882352941175
2022-01-06,telur,29883.823529411766
2022-01-07,beras,11741.176470588236
2022-01-07,gula,14175.0
2022-01-07,minyak,20079.41176470588
2022-01-07,telur,29739.70588235294
2022-01-08,beras,11741.176470588236
2022-01-08,gula,14175.0
2022-01-08,minyak,20079.41176470588
2022-01-08,telur,29739.70588235294
2022-01-09,beras,11741.176470588236
2022-01-09,gula,14175.0
2022-01-09,minyak,20079.41176470588
2022-01-09,telur,29739.70588235294
2022-01-10,beras,11710.29411764706
2022-01-10,gula,14232.35294117647
2022-01-10,minyak,20139.70588235294
2022-01-10,telur,29210.29411764706
2022-01-11,beras,11745.588235294117
2022-01-11,gula,14286.764705882353
2022-01-11,minyak,20161.764705882353
2022-01-11,telur,29004.41176470588
2022-01-12,beras,11758.823529411764
2022-01-12,gula,14366.176470588236
2022-01-12,minyak,20200.0
2022-01-12,telur,28854.41176470588
2022-01-13,beras,11766.176470588236
2022-01-13,gula,14439.70588235294
2022-01-13,minyak,20285.29411764706
2022-01-13,telur,28675.0
2022-01-14,beras,11770.588235294117
2022-01-14,gula,14464.70588235294
2022-01-14,minyak,20251.470588235294
2022-01-14,telur,28433.823529411766
2022-01-17,beras,11772.058823529413
2022-01-17,gula,14616.176470588236
2022-01-17,minyak,20329.41176470588
2022-01-17,telur,27950.0
2022-01-18,beras,11782.35294117647
2022-01-18,gula,14666.176470588236
2022-01-18,minyak,20336.764705882353
2022-01-18,telur,27788.235294117647
2022-01-19,beras,11780.882352941177
2022-01-19,gula,14686.764705882353
2022-01-19,minyak,20341.176470588234
2022-01-19,telur,27588.235294117647
2022-01-20,beras,11786.764705882353
2022-01-20,gula,14708.823529411764
2022-01-20,minyak,20350.0
2022-01-20,telur,27333.823529411766
2022-01-21,beras,11789.70588235294
2022-01-21,gula,14729.411764705883
