date,komoditas,price,year,month,day,lag_1,lag_7,rolling_mean_7
2022-01-08,beras,11741.176470588236,2022,1,8,11741.176470588236,11732.35294117647,11738.865546218487
2022-01-09,beras,11741.176470588236,2022,1,9,11741.176470588236,11732.35294117647,11740.126050420167
2022-01-10,beras,11710.29411764706,2022,1,10,11741.176470588236,11738.235294117647,11736.134453781513
2022-01-11,beras,11745.588235294117,2022,1,11,11710.29411764706,11748.529411764706,11735.714285714286
2022-01-12,beras,11758.823529411764,2022,1,12,11745.588235294117,11733.823529411764,11739.285714285714
2022-01-13,beras,11766.176470588236,2022,1,13,11758.823529411764,11736.764705882353,11743.487394957983
2022-01-14,beras,11770.588235294117,2022,1,14,11766.176470588236,11741.176470588236,11747.689075630251
2022-01-17,beras,11772.058823529413,2022,1,17,11770.588235294117,11741.176470588236,11752.100840336134
2022-01-18,beras,11782.35294117647,2022,1,18,11772.058823529413,11741.176470588236,11757.98319327731
2022-01-19,beras,11780.882352941177,2022,1,19,11782.35294117647,11710.29411764706,11768.067226890757
2022-01-20,beras,11786.764705882353,2022,1,20,11780.882352941177,11745.588235294117,11773.949579831931
2022-01-21,beras,11789.70588235294,2022,1,21,11786.764705882353,11758.823529411764,11778.361344537814
2022-01-22,beras,11789.70588235294,2022,1,22,11789.70588235294,11766.176470588236,11781.722689075628
2022-01-24,beras,11786.764705882353,2022,1,24,11789.70588235294,11770.588235294117,11784.03361344538
2022-01-25,beras,11789.70588235294,2022,1,25,11786.764705882353,11772.058823529413,11786.55462184874
2022-01-26,beras,11789.70588235294,2022,1,26,11789.70588235294,11782.35294117647,11787.605042016805
2022-01-27,beras,11804.411764705883,2022,1,27,11789.70588235294,11780.882352941177,11790.96638655462
2022-01-28,beras,11791.176470588236,2022,1,28,11804.411764705883,11786.764705882353,11791.596638655463
2022-01-29,beras,11791.176470588236,2022,1,29,11791.176470588236,11789.70588235294,11791.806722689076
2022-01-30,beras,11791.176470588236,2022,1,30,11791.176470588236,11789.70588235294,11792.01680672269
2022-01-31,beras,11788.235294117647,2022,1,31,11791.176470588236,11786.764705882353,11792.226890756301
2022-02-01,beras,11000.0,2022,2,1,11788.235294117647,11789.70588235294,11679.411764705883
2022-02-02,beras,11791.176470588236,2022,2,2,11000.0,11789.70588235294,11679.621848739496
2022-02-03,beras,11794.117647058823,2022,2,3,11791.176470588236,11804.411764705883,11678.151260504203
2022-02-04,beras,11794.117647058823,2022,2,4,11794.117647058823,11791.176470588236,11678.57142857143
2022-02-05,beras,11794.117647058823,2022,2,5,11794.117647058823,11791.176470588236,11678.991596638656
2022-02-06,beras,11794.117647058823,2022,2,6,11794.117647058823,11791.176470588236,11679.411764705883
2022-02-07,beras,11795.588235294117,2022,2,7,11794.117647058823,11788.235294117647,11680.46218487395
2022-02-08,beras,11797.058823529413,2022,2,8,11795.588235294117,11000.0,11794.327731092437
2022-02-09,beras,11797.058823529413,2022,2,9,11797.058823529413,11791.176470588236,11795.16806722689
2022-02-10,beras,11795.588235294117,2022,2,10,11797.058823529413,11794.117647058823,11795.378151260504
2022-02-11,beras,11794.117647058823,2022,2,11,11795.588235294117,11794.117647058823,11795.378151260504
2022-02-12,beras,11794.117647058823,2022,2,12,11794.117647058823,11794.117647058823,11795.378151260504
2022-02-13,beras,11794.117647058823,2022,2,13,11794.117647058823,11794.117647058823,11795.378151260504
2022-02-14,beras,11794.117647058823,2022,2,14,11794.117647058823,11795.588235294117,11795.16806722689
2022-02-15,beras,11798.529411764706,2022,2,15,11794.117647058823,11797.058823529413,11795.378151260504
2022-02-16,beras,11797.058823529413,2022,2,16,11798.529411764706,11797.058823529413,11795.378151260504
2022-02-17,beras,11792.64705882353,2022,2,17,11797.058823529413,11795.588235294117,11794.957983193279
2022-02-18,beras,11795.588235294117,2022,2,18,11792.64705882353,11794.117647058823,11795.16806722689
2022-02-21,beras,11798.529411764706,2022,2,21,11795.588235294117,11794.117647058823,11795.798319327732
2022-02-22,beras,11794.117647058823,2022,2,22,11798.529411764706,11794.117647058823,11795.798319327732
2022-02-23,beras,11798.529411764706,2022,2,23,11794.117647058823,11794.117647058823,11796.42857142857
2022-02-24,beras,11797.058823529413,2022,2,24,11798.529411764706,11798.529411764706,11796.218487394959
2022-02-25,beras,11797.058823529413,2022,2,25,11797.058823529413,11797.058823529413,11796.218487394959
2022-02-26,beras,11797.058823529413,2022,2,26,11797.058823529413,11792.64705882353,11796.848739495797
2022-02-27,beras,11797.058823529413,2022,2,27,11797.058823529413,11795.588235294117,11797.058823529413
2022-02-28,beras,11797.058823529413,2022,2,28,11797.058823529413,11798.529411764706,11796.848739495797
2022-03-01,beras,11798.529411764706,2022,3,1,11797.058823529413,11794.117647058823,11797.47899159664
2022-03-02,beras,11794.117647058823,2022,3,2,11798.529411764706,11798.529411764706,11796.848739495797
2022-03-04,beras,11786.764705882353,2022,3,4,11794.117647058823,11797.058823529413,11795.378151260506
2022-03-05,beras,11786.764705882353,2022,3,5,11786.764705882353,11797.058823529413,11793.90756302521
