Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-01,10,Gula Pasir,1,Aceh,15150.0,1
2026-02-12,2022-01-01,10,Gula Pasir,2,Sumatera Utara,14450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-01,10,Gula Pasir,5,Kepulauan Riau,11700.0,1
2026-02-12,2022-01-01,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-01,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-01,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,9,Kepulauan Bangka Belitung,13600.0,1
2026-02-12,2022-01-01,10,Gula Pasir,10,Lampung,13250.0,1
2026-02-12,2022-01-01,10,Gula Pasir,11,Banten,13450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,12,Jawa Barat,13850.0,1
2026-02-12,2022-01-01,10,Gula Pasir,13,DKI Jakarta,14350.0,1
2026-02-12,2022-01-01,10,Gula Pasir,14,Jawa Tengah,13250.0,1
2026-02-12,2022-01-01,10,Gula Pasir,15,DI Yogyakarta,12950.0,1
2026-02-12,2022-01-01,10,Gula Pasir,16,Jawa Timur,12950.0,1
2026-02-12,2022-01-01,10,Gula Pasir,17,Bali,13250.0,1
2026-02-12,2022-01-01,10,Gula Pasir,18,Nusa Tenggara Barat,13800.0,1
2026-02-12,2022-01-01,10,Gula Pasir,19,Nusa Tenggara Timur,15450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,20,Kalimantan Barat,13700.0,1
2026-02-12,2022-01-01,10,Gula Pasir,21,Kalimantan Selatan,15000.0,1
2026-02-12,2022-01-01,10,Gula Pasir,22,Kalimantan Tengah,14550.0,1
2026-02-12,2022-01-01,10,Gula Pasir,23,Kalimantan Timur,14050.0,1
2026-02-12,2022-01-01,10,Gula Pasir,24,Kalimantan Utara,14100.0,1
2026-02-12,2022-01-01,10,Gula Pasir,25,Gorontalo,14650.0,1
2026-02-12,2022-01-01,10,Gula Pasir,26,Sulawesi Selatan,13750.0,1
2026-02-12,2022-01-01,10,Gula Pasir,27,Sulawesi Tenggara,15400.0,1
2026-02-12,2022-01-01,10,Gula Pasir,28,Sulawesi Tengah,14750.0,1
2026-02-12,2022-01-01,10,Gula Pasir,29,Sulawesi Utara,13850.0,1
2026-02-12,2022-01-01,10,Gula Pasir,30,Sulawesi Barat,13450.0,1
2026-02-12,2022-01-01,10,Gula Pasir,31,Maluku,15600.0,1
2026-02-12,2022-01-01,10,Gula Pasir,32,Maluku Utara,15500.0,1
2026-02-12,2022-01-01,10,Gula Pasir,33,Papua,16850.0,1
2026-02-12,2022-01-01,10,Gula Pasir,34,Papua Barat,15900.0,1
2026-02-12,2022-01-02,10,Gula Pasir,1,Aceh,15150.0,1
2026-02-12,2022-01-02,10,Gula Pasir,2,Sumatera Utara,14450.0,1
2026-02-12,2022-01-02,10,Gula Pasir,3,Sumatera Barat,14450.0,1
2026-02-12,2022-01-02,10,Gula Pasir,4,Riau,12900.0,1
2026-02-12,2022-01-02,10,Gula Pasir,5,Kepulauan Riau,11700.0,1
2026-02-12,2022-01-02,10,Gula Pasir,6,Jambi,13550.0,1
2026-02-12,2022-01-02,10,Gula Pasir,7,Bengkulu,13100.0,1
2026-02-12,2022-01-02,10,Gula Pasir,8,Sumatera Selatan,13450.0,1
